"last_name, first_name","player_id","year","p_formatted_ip","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","on_base_percent","babip","p_era","p_hit_by_pitch","poorlyweak_percent","hard_hit_percent","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Barnes, Jacob",606930,2024,"66.0",277,67,10,55,20,19.9,7.2,".314",".297","4.36","0",3.5,41.6,25.1,38.1,26.2,31.7,4,"1117","96.3","3.7",
"Kelly, Merrill",518876,2024,"73.2",300,67,11,63,19,21,6.3,".294",".275","4.03","2",2.3,40.9,21.3,42.8,29.8,23.3,4.2,"1142","59.5","19.6","20.9"
"Falter, Bailey",663559,2024,"142.1",589,138,17,97,45,16.5,7.6,".315",".287","4.43","0",4,41.3,19.6,37.5,28.1,25.8,8.5,"2137","62.7","36.8","0.6"
"Meyer, Max",676974,2024,"57.0",248,62,14,46,19,18.5,7.7,".339",".289","5.68","3",3.9,47.8,23.9,50.6,25,18.3,6.1,"968","41.4","40.7","17.9"
"Weissert, Greg",669711,2024,"63.1",263,65,7,58,20,22.1,7.6,".324",".328","3.13","0",2.7,40.5,20.3,41.1,28.1,24.9,5.9,"1029","56.3","34.9","8.8"
"Johnson, Pierce",572955,2024,"56.1",236,48,6,67,25,28.4,10.6,".318",".309","3.67","2",2.1,39.4,28.1,45.8,26.8,22.5,4.9,"916","28.4","71.6",
"Morgan, Eli",669212,2024,"42.0",167,30,4,34,11,20.4,6.6,".255",".226","1.93","1",9.1,28.1,24.9,32.2,31.4,24,12.4,"646","40.2","36.1","23.7"
"Foley, Jason",671345,2024,"60.0",250,51,5,46,20,18.4,8,".293",".261","3.15","2",5.5,41.2,22.3,47.8,24.7,24.2,3.3,"905","62.9","31.5","5.6"
"Oller, Adam",670124,2024,"42.1",189,43,7,36,22,19,11.6,".354",".295","5.31","2",3.1,38.8,21.5,38.8,31,19.4,10.9,"710","51.4","41.5","7"
"Cleavinger, Garrett",664076,2024,"60.0",266,52,6,71,31,26.7,11.7,".338",".305","3.75","7",5.7,33.8,30.3,41.4,29.3,23.6,5.7,"1056","60.6","39.4",
"Matz, Steven",571927,2024,"44.1",190,49,7,33,15,17.4,7.9,".349",".318","5.08","2",2.9,30.7,18.1,40.7,21.4,29.3,8.6,"754","59.8","14.5","25.7"
"Hodge, Porter",687863,2024,"43.0",164,19,2,52,19,31.7,11.6,".238",".189","1.88","1",2.2,35.9,32.8,40.2,30.4,22.8,6.5,"642","61.2","37.5","1.2"
"Hoffman, Jeff",656546,2024,"66.1",265,48,6,89,16,33.6,6,".253",".278","2.17","3",5.7,42,35.3,37.6,27.4,24.8,10.2,"1001","47.3","40.8","12"
"Wacha, Michael",608379,2024,"166.2",685,154,17,145,45,21.2,6.6,".300",".293","3.35","5",5.7,32.5,23.3,39.9,26.8,23.5,9.8,"2602","50.4","17.4","32.2"
"Thompson, Ryan",657044,2024,"66.1",272,64,5,52,15,19.1,5.5,".296",".299","3.26","1",7.4,44.6,23,62.7,15.2,17.6,4.4,"977","74.3","25.7",
